sample_name,cluster_id,cluster_color,cluster_label,class_id,class_color,class_label,Gad2_log10_cpm,Slc17a7_log10_cpm,Lamp5_log10_cpm,Sncg_log10_cpm,Vip_log10_cpm,Sst_log10_cpm,Pvalb_log10_cpm
F2S4_170126_001_H01,68,#00DDC5,L5 IT VISp Hsd11b1 Endou,2,#27AAE1,Glutamatergic,0,2.59050437868686,2.19744207769919,0,0,0,0
F2S4_170126_002_A01,88,#5100FF,L6 IT VISp Car3,2,#27AAE1,Glutamatergic,0,2.77087906717,2.44514359706569,0,0,0,0
F2S4_170126_002_B01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.69540436946366,1.54417226344841,0,0,0,0
F2S4_170126_002_E01,87,#96E32C,L6 IT VISp Col18a1,2,#27AAE1,Glutamatergic,0.381688762231973,3.15628195925136,1.74755924426305,0,0,1.13588321627796,0.97538924607415
F2S4_170126_002_G01,67,#00979D,L4 IT VISp Rspo1,2,#27AAE1,Glutamatergic,0,2.65267616307772,1.95194009982893,0,0,0,1.91664016101706
F2S4_170126_002_H01,70,#00A809,L5 IT VISp Batf3,2,#27AAE1,Glutamatergic,0,2.90827632984999,0.197877662206425,0,0,0,0
F2S4_170126_003_A01,72,#26BF64,L5 IT VISp Col27a1,2,#27AAE1,Glutamatergic,0.191153264497731,2.9467420509437,0.191153264497731,0,0,0,0.191153264497731
F2S4_170126_003_B01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,2.96431774642105,0,0,0,0.313363681590949,0
F2S4_170126_003_C01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,3.01331436727893,0,0,0,0,0
F2S4_170126_003_D01,84,#A19922,L6 IT VISp Penk Col27a1,2,#27AAE1,Glutamatergic,0,3.03652579831808,0,0,0,0.323015071245244,0
F2S4_170126_003_E01,87,#96E32C,L6 IT VISp Col18a1,2,#27AAE1,Glutamatergic,0,2.74177292777176,1.99364745755957,0,0,0.659804647351316,0
